EmpID,FirstName,LastName,ADEmail,DepartmentType,Division,DOB,JobFunctionDescription,GenderCode
3427,Uriah,Bridges,uriah.bridges@bilearner.com,Production       ,Finance ,07-10-1969,Accounting,Female
3428,Paula,Small,paula.small@bilearner.com,Production       ,Finance ,30-08-1965,Ceo,Male
3429,Edward,Buck,edward.buck@bilearner.com,Production       ,Finance ,06-10-1991,Field Technician,Male
3430,Michael,Riordan,michael.riordan@bilearner.com,Production       ,Finance ,04-04-1998,Program Manager,Male
3431,Jasmine,Onque,jasmine.onque@bilearner.com,Production       ,Finance ,29-08-1969,Intern,Female
3432,Maruk,Fraval,maruk.fraval@bilearner.com,Production       ,Finance ,03-04-1949,Specialist,Male
3433,Latia,Costa,latia.costa@bilearner.com,Production       ,Engineers,01-07-1942,Engineer,Female
3434,Sharlene,Terry,sharlene.terry@bilearner.com,Production       ,Engineers,07-03-1957,Manager,Female
3435,Jac,McKinzie,jac.mckinzie@bilearner.com,Production       ,Engineers,15-05-1974,Director,Male
3436,Joseph,Martins,joseph.martins@bilearner.com,Production       ,Engineers,11-11-1949,Technician,Male
3437,Myriam,Givens,myriam.givens@bilearner.com,Production       ,Engineers,26-01-1964,Accounting,Female
3438,Dheepa,Nguyen,dheepa.nguyen@bilearner.com,Production       ,Engineers,06-04-1948,Ceo,Female
3439,Bartholemew,Khemmich,bartholemew.khemmich@bilearner.com,Production       ,ProjectManagement,24-11-1981,Field Technician,Male
3440,Xana,Potts,xana.potts@bilearner.com,Production       ,ProjectManagement,06-11-1951,Program Manager,Female
3441,Prater,Jeremy,prater.jeremy@bilearner.com,Production       ,ProjectManagement,21-11-1989,Intern,Male
3442,Kaylah,Moon,kaylah.moon@bilearner.com,Production       ,ProjectManagement,24-11-1952,Specialist,Male
3443,Kristen,Tate,kristen.tate@bilearner.com,Production       ,ProjectManagement,08-04-1994,Engineer,Male
3444,Bobby,Rodgers,bobby.rodgers@bilearner.com,Production       ,ProjectManagement,15-11-1983,Manager,Male
3445,Reid,Park,reid.park@bilearner.com,Production       ,Sales&Marketing,07-12-1985,Director,Female
3446,Hector,Dalton,hector.dalton@bilearner.com,Production       ,Sales&Marketing,01-05-1996,Technician,Female
3447,Mariela,Schultz,mariela.schultz@bilearner.com,Production       ,Sales&Marketing,17-02-1964,Accounting,Female
3448,Angela,Molina,angela.molina@bilearner.com,Production       ,Sales&Marketing,12-05-1958,Ceo,Male
3449,Gerald,Preston,gerald.preston@bilearner.com,Production       ,Sales&Marketing,18-09-1992,Field Technician,Male
